880,294,1281,205,1298,288,897,377
860,1288,1253,1284,1254,1386,861,1390
872,864,1267,855,1269,948,874,956
858,1149,1236,1141,1238,1235,860,1242
912,546,1223,486,1239,573,927,634
988,1007,1282,981,1287,1050,993,1076
875,737,1064,721,1069,789,880,805
1077,690,1289,659,1295,702,1083,733
1001,451,1268,387,1277,425,1009,489
1045,1072,1262,1052,1266,1097,1049,1118
1155,364,1324,320,1336,369,1167,414
835,1038,1023,1016,1030,1077,841,1098
951,627,1132,591,1136,611,955,648
854,1100,993,1084,997,1125,859,1141
1098,729,1245,709,1250,750,1103,770
872,645,943,630,947,649,876,663
1127,593,1297,559,1301,580,1131,613
945,434,1202,345,1215,388,958,476
1256,391,1321,374,1330,408,1265,426
1002,1085,1045,1079,1050,1114,1006,1120
